Rowid,CELLLAB,MIN,MAX,RANGE,MEAN,STD,MEDIAN,NABAT_CellNum
2,Cell_661,945,1097,152,1022.442353,30.20930714,1032,661
3,Cell_2545,884,1098,214,1025.373857,49.37097184,1036,2545
5,Cell_4833,740,2296,1556,1158.213894,355.9133671,1036,4833
6,Cell_4849,768,853,85,805.6778119,16.7215075,799,4849
7,Cell_2565,792,879,87,834.6341625,18.14603415,832,2565
10,Cell_1313,1605,2511,906,1883.154978,178.2817613,1831,1313
12,Cell_2053,1294,1524,230,1388.698857,35.10227745,1401,2053
13,Cell_497,761,877,116,840.9707996,16.37313413,843,497
14,Cell_801,1859,2742,883,2266.672062,220.8754113,2257,801
20,Cell_901,1467,1955,488,1639.46693,101.7153215,1628,901
22,Cell_2885,1460,2437,977,1894.462264,250.0799027,1901,2885
23,Cell_2389,725,853,128,777.3436565,34.75212357,787,2389
26,Cell_3617,1996,2802,806,2356.605316,160.3063605,2353,3617
27,Cell_2033,975,1097,122,999.0636088,29.33842074,978,2033
31,Cell_149,835,916,81,872.5723788,20.92770807,871,149
33,Cell_389,1203,1402,199,1253.491687,45.73770438,1235,389
36,Cell_1233,1372,2013,641,1519.160757,152.4462639,1450,1233
37,Cell_2229,585,693,108,629.5321837,25.10532587,632,2229
38,Cell_2949,1335,1764,429,1458.308837,80.00871839,1463,2949
39,Cell_3809,975,2133,1158,1244.930381,252.6480484,1158,3809
41,Cell_2629,1219,1889,670,1414.145298,133.9989922,1384,2629
43,Cell_3669,748,858,110,811.8189981,25.08044834,821,3669
46,Cell_2693,1008,1235,227,1069.468197,33.9330228,1066,2693
47,Cell_3861,875,1005,130,940.4803824,26.13091739,945,3861
49,Cell_2757,701,762,61,723.4502494,17.72837618,730,2757
51,Cell_3781,689,823,134,755.0036983,26.91398421,762,3781
54,Cell_2645,731,883,152,811.2708489,26.82529916,820,2645
58,Cell_2197,748,945,197,858.0561237,41.21481456,858,2197
60,Cell_5829,823,945,122,879.5316682,31.30877574,884,5829
61,Cell_645,1177,1539,362,1323.369466,66.16366828,1327,645
62,Cell_3397,1295,1361,66,1327.790185,15.21937548,1328,3397
65,Cell_1925,1237,1452,215,1328.400989,40.2687311,1334,1925
68,Cell_993,1128,2195,1067,1677.805999,273.0117421,1727,993
70,Cell_3057,1381,2269,888,1681.416417,212.599761,1646,3057
71,Cell_133,1690,2329,639,1863.339222,136.9595487,1828,133
73,Cell_5,1028,1122,94,1051.042117,24.76781112,1036,5
74,Cell_1009,914,986,72,964.052286,18.21033503,975,1009
75,Cell_4321,869,1233,364,965.3960515,85.10644184,941,4321
79,Cell_3973,1473,1981,508,1665.45789,104.9491475,1646,3973
80,Cell_773,1195,1524,329,1290.166701,66.18322688,1279,773
83,Cell_853,731,792,61,754.8642694,16.78971367,760,853
85,Cell_3477,817,945,128,867.5972147,24.72268846,863,3477
88,Cell_3205,1172,1402,230,1288.094558,51.94778417,1280,3205
91,Cell_3013,863,1015,152,945.9357505,37.46225368,946,3013
94,Cell_5269,753,914,161,836.3060707,29.00476985,836,5269
95,Cell_533,652,762,110,704.2099406,30.7653596,717,533
97,Cell_1685,991,1219,228,1027.892314,33.87031333,1022,1685
98,Cell_1669,1006,1341,335,1140.707408,67.6390483,1141,1669
