SITEID,OPEN_WATER___WET,HUMAN_LAND_USE,SPARSE_AND_BARRE,ALPINE_SYSTEMS,FOREST_AND_WOODL,SHRUBLAND__STEPP,GRASSLAND_SYSTEM,RECENTLY_DISTURB
1396,0.006594037,0.384747706,2.86697e-4,0,0,0,0.553325688,0.055045872
1397,0.31296615,0.460699943,0,0,0,0,0.157487091,0.068846816
1398,0.009458298,0.366007452,0,0,0,0,0.607623961,0.016910289
1399,0.014363689,0.856937662,0,0,0,0,0.090491238,0.038207412
1400,0,0.026119403,0,0,0,0.765786452,0.208094145,0
1401,0.002007456,0.030685403,0,0,0,0.742472039,0.224835102,0
1402,0.045011468,0,0,0,0,0.954415138,5.73394e-4,0
1403,0.118187034,0,0,0,0,0.76821572,0.113597246,0
1404,0.024075666,0.184866724,0.002006306,0,0.20779593,0.010891373,0.56692462,0.003439381
1405,0.020713464,0.265822785,0.003452244,0,0.022151899,0.034234753,0.402474108,0.251150748
1406,0.282477775,0.099225695,0,0,0,0.111843992,0.308574706,0.197877832
1407,0,0.35113408,0,0,0,0.015503876,0.591731266,0.041630778
1408,0.003156385,0.813199426,0,0,0,0,0.108751793,0.074892396
1409,0.064599483,0.340223945,0,0,0,0,0.071490095,0.523686477
1410,0.14347079,0.263172967,0.15091638,0,0,0.00257732,0.432130584,0.007731959
1411,0.020057307,0.236676218,0,0,0,0.002005731,0.459025788,0.282234957
1413,0.016050444,0.048724563,0,0,0.758383491,2.86615e-4,0.002866151,0.173688736
1414,0,0.03340948,0,0,0.82809823,0,0,0.13849229
1415,0.001148435,0.026414011,0,0,0.801033592,0.002296871,0.004593741,0.164513351
1416,0.137604137,0.041654697,0,0,0,0.050560184,0.768744614,0.001436369
1417,0.152566676,0.176369372,0,0,0.017780327,0.07513622,0.547462002,0.030685403
1418,0.151176133,0.454675846,0,0,0,0,0.393000574,0.001147447
1419,0.020970985,0.154553289,0,0,0,0.003447285,0.762137317,0.058891123
1420,0.013459336,0.023768614,0.007159221,0,0.552405498,0.360538373,0.042668958,0
1421,0.024418271,0.026141913,0.028727377,0,0.12640046,0.722493536,0.071818443,0
1422,0.035868006,0.015208034,0.032711621,0,0.014347202,0.859397418,0.042467719,0
1423,0.016091954,0.023850575,0.014655172,0,0.279597701,0.662643678,0.002873563,2.87356e-4
1425,0.430332569,0.295584862,0,0,0.041571101,0.029529817,0.200401376,0.002580275
1426,0.492528736,0.076149425,2.87356e-4,0,5.74713e-4,0.053448276,0.376436782,5.74713e-4
1427,0.170011468,0.084575688,0,0,0.487958716,0.049885321,0.072534404,0.135034404
1428,0,0.027817608,0,0,0,0.8603384,0.111843992,0
